age,ed,employ,address,income,debtinc,creddebt,othdebt,default
28,2,8,3,31,8.2,1.492154,1.049846,1
29,1,1,2,20,18.6,0.56916,3.15084,1
34,2,3,8,21,23.1,1.401939,3.449061,0
28,2,5,9,34,23.8,3.099236,4.992764,0
47,1,26,21,100,12.8,4.5824,8.2176,0
43,4,1,5,26,10.6,1.518556,1.237444,0
41,1,13,10,44,1.7,0.07106,0.67694,0
47,1,13,25,51,23.8,3.738504,8.399496,0
24,1,2,1,21,0.6,0.025074,0.100926,0
29,1,1,9,17,6.7,0.157182,0.981818,0
33,1,14,2,37,2.6,0.199134,0.762866,0
36,1,15,10,39,3.2,0.6864,0.5616,0
26,1,4,3,27,10.5,2.47212,0.36288,1
31,1,11,12,45,17,2.7387,4.9113,0
37,1,7,3,32,19.6,2.69696,3.57504,0
35,4,4,16,29,11,1.84382,1.34618,0
26,1,4,3,20,5.4,0.3186,0.7614,0
40,1,10,15,45,18.8,2.01348,6.44652,0
29,2,5,4,36,12.4,3.490848,0.973152,1
37,3,5,17,29,24.6,1.405398,5.728602,0
32,1,12,12,28,2.9,0.116116,0.695884,0
23,2,0,1,17,27.7,2.043706,2.665294,1
32,1,3,10,23,6.2,0.052762,1.373238,0
25,1,1,6,15,11.4,0.37107,1.33893,1
38,1,5,5,54,10.6,1.499688,4.224312,0
32,2,0,6,18,5.8,0.296496,0.747504,1
41,3,2,0,15,26.3,1.960665,1.984335,1
36,1,17,6,54,4.4,0.727056,1.648944,0
42,3,13,0,82,3.3,1.315116,1.390884,0
41,1,14,8,52,7.3,0.926224,2.869776,0
29,2,4,9,19,6.3,0.681093,0.515907,0
38,3,4,6,31,9.3,1.331946,1.551054,1
39,1,22,9,113,2.6,0.987168,1.950832,0
36,1,6,9,26,8.3,0.030212,2.127788,0
33,1,8,7,27,5.8,0.776736,0.789264,0
42,2,21,11,121,3.1,1.365364,2.385636,0
41,2,22,17,75,23.6,9.8766,7.8234,0
40,1,8,17,28,3.6,0.53424,0.47376,0
53,1,9,18,50,11.2,2.016,3.584,1
28,1,4,7,26,13.5,1.29519,2.21481,0
36,2,12,13,60,7.9,1.72062,3.01938,0
34,2,9,13,45,10.1,1.11807,3.42693,0
45,3,2,5,39,4.9,0.45864,1.45236,0
38,1,6,0,41,8.9,0.266377,3.382623,0
21,3,0,2,24,7.7,0.833448,1.014552,0
42,1,12,11,51,21.4,2.411994,8.502006,0
52,1,16,25,64,8.6,1.865856,3.638144,0
25,2,4,6,33,5.2,0.552552,1.163448,0
34,2,9,9,65,6.2,2.10769,1.92231,0
40,2,15,16,73,3.4,1.032512,1.449488,0
31,2,0,4,27,12.8,1.08864,2.36736,1
25,1,1,0,20,6.7,0.47168,0.86832,1
45,1,12,19,37,9.5,1.34273,2.17227,0
23,1,3,0,19,8.4,0.2793,1.3167,1
34,4,6,3,27,35.3,1.982448,7.548552,1
31,1,2,4,22,12.7,1.092454,1.701546,1
28,1,5,9,22,2.8,0.140448,0.475552,0
41,1,7,11,43,4.4,0.694364,1.197636,0
39,2,7,2,68,13,1.0166,7.8234,1
29,2,9,3,36,1.4,0.127008,0.376992,0
21,1,5,1,25,9,0.36675,1.88325,0
41,2,19,2,68,5.8,1.506608,2.437392,0
26,4,1,7,27,2.9,0.311634,0.471366,0
33,1,5,10,18,12.9,0.984528,1.337472,0
45,2,18,19,35,17.4,0.5481,5.5419,0
39,1,17,20,60,13.7,2.44956,5.77044,0
24,1,7,2,21,6.3,0.519939,0.803061,0
29,2,6,7,57,2.2,0.452694,0.801306,0
27,2,1,0,23,12.4,0.2852,2.5668,0
40,1,13,2,28,5.9,0.964768,0.687232,0
29,1,8,10,24,6.7,0.469536,1.138464,0
29,2,4,3,37,6.6,1.15995,1.28205,1
24,1,0,2,16,16,1.00864,1.55136,1
27,1,9,6,45,17.8,2.85156,5.15844,1
41,3,16,22,135,4.4,1.2771,4.6629,0
31,1,11,8,25,9.1,0.14105,2.13395,0
41,1,16,17,68,5.4,0.447984,3.224016,0
42,2,5,3,41,3.4,0.35547,1.03853,0
28,4,1,3,26,12.4,0.377208,2.846792,0
30,4,2,8,25,10,1.77,0.73,0
30,1,11,1,33,8.4,0.681912,2.090088,0
31,1,8,4,44,8,1.72128,1.79872,0
45,2,15,14,51,18.1,1.550808,7.680192,0
43,1,13,23,76,6.1,2.151104,2.484896,1
36,1,4,10,23,16.3,1.327146,2.421854,0
28,1,8,6,30,7.2,0.61344,1.54656,0
27,2,3,5,33,13.2,1.6335,2.7225,0
36,3,13,3,39,19.2,2.800512,4.687488,0
33,1,12,11,32,11.3,2.104512,1.511488,0
54,1,9,2,28,14.8,1.558144,2.585856,1
33,1,9,4,29,13.8,1.348674,2.653326,1
31,1,9,5,26,4.5,0.31005,0.85995,0
21,1,4,0,26,8.9,1.420796,0.893204,0
28,3,5,9,44,8.7,0.773256,3.054744,0
31,2,2,1,26,6.8,0.28288,1.48512,1
32,1,8,6,26,4.1,0.326196,0.739804,0
35,2,1,8,24,12.5,0.591,2.409,1
40,2,13,11,102,18.9,6.226794,13.051206,1
22,1,4,2,24,15.6,1.636128,2.107872,1
39,1,4,9,38,6.5,1.17819,1.29181,0
41,4,14,3,44,1.7,0.353056,0.394944,0
34,1,16,9,79,4,1.73484,1.42516,0
29,1,7,9,22,9.7,0.550572,1.583428,0
31,1,4,10,28,11.3,0.291088,2.872912,0
32,1,1,0,20,4.8,0.31488,0.64512,1
32,1,14,7,73,8.8,3.751616,2.672384,0
33,1,6,14,21,7.5,0.567,1.008,0
26,1,6,0,22,10.3,0.720588,1.545412,0
21,1,1,1,18,17.3,0.158814,2.955186,0
28,2,7,2,34,7,0.35938,2.02062,0
37,1,13,5,24,8.9,0.602352,1.533648,0
33,2,2,14,35,22.9,2.123975,5.891025,1
39,1,12,10,46,5,0.5612,1.7388,0
40,2,8,19,57,5.6,0.8778,2.3142,0
45,3,16,21,80,3,0.912,1.488,0
27,1,10,6,34,6.5,0.85085,1.35915,0
28,4,0,7,29,24.2,1.424654,5.593346,0
39,1,13,9,27,8,0.96552,1.19448,0
40,1,14,21,43,15,2.79285,3.65715,1
27,1,11,8,56,16.9,4.63736,4.82664,0
36,1,1,4,16,9.3,0.433008,1.054992,0
55,1,19,2,78,15.6,4.404816,7.763184,0
27,2,4,3,22,13.2,1.086096,1.817904,1
30,1,1,8,17,11,0.74613,1.12387,0
36,1,10,0,28,11.2,0.81536,2.32064,1
31,1,1,6,21,2.5,0.2772,0.2478,1
33,2,13,2,40,7.2,0.18144,2.69856,0
30,1,4,0,33,4.2,0.500346,0.885654,0
24,1,1,0,18,5.9,0.23895,0.82305,1
33,4,9,10,28,4.3,0.376852,0.827148,0
50,1,8,27,47,6.9,0.398889,2.844111,0
31,2,6,6,32,23.1,3.341184,4.050816,1
